"pokedex_number","name","generation","is_legendary","is_mythical","species","type_1","type_2","height_m","weight_kg","hp","attack","defense","sp_attack","sp_defense","speed"
"221","Piloswine","2","0","0","Swine Pokémon","Ice","Ground","1.1","55.8","100","100","80","60","60","50"
"222","Corsola","2","0","0","Coral Pokémon","Water","Rock","0.6","5","65","55","95","65","95","35"
"222","Galarian Corsola","2","0","0","Coral Pokémon","Ghost","","0.6","0.5","60","55","100","65","100","30"
"223","Remoraid","2","0","0","Jet Pokémon","Water","","0.6","12","35","65","35","65","35","65"
"224","Octillery","2","0","0","Jet Pokémon","Water","","0.9","28.5","75","105","75","105","75","45"
"225","Delibird","2","0","0","Delivery Pokémon","Ice","Flying","0.9","16","45","55","45","65","45","75"
"226","Mantine","2","0","0","Kite Pokémon","Water","Flying","2.1","220","85","40","70","80","140","70"
"227","Skarmory","2","0","0","Armor Bird Pokémon","Steel","Flying","1.7","50.5","65","80","140","40","70","70"
"228","Houndour","2","0","0","Dark Pokémon","Dark","Fire","0.6","10.8","45","60","30","80","50","65"
"229","Houndoom","2","0","0","Dark Pokémon","Dark","Fire","1.4","35","75","90","50","110","80","95"
"229","Mega Houndoom","2","0","0","Dark Pokémon","Dark","Fire","1.9","49.5","75","90","90","140","90","115"
"230","Kingdra","2","0","0","Dragon Pokémon","Water","Dragon","1.8","152","75","95","95","95","95","85"
"231","Phanpy","2","0","0","Long Nose Pokémon","Ground","","0.5","33.5","90","60","60","40","40","40"
"232","Donphan","2","0","0","Armor Pokémon","Ground","","1.1","120","90","120","120","60","60","50"
"233","Porygon2","2","0","0","Virtual Pokémon","Normal","","0.6","32.5","85","80","90","105","95","60"
"234","Stantler","2","0","0","Big Horn Pokémon","Normal","","1.4","71.2","73","95","62","85","65","85"
"235","Smeargle","2","0","0","Painter Pokémon","Normal","","1.2","58","55","20","35","20","45","75"
"236","Tyrogue","2","0","0","Scuffle Pokémon","Fighting","","0.7","21","35","35","35","35","35","35"
"237","Hitmontop","2","0","0","Handstand Pokémon","Fighting","","1.4","48","50","95","95","35","110","70"
"238","Smoochum","2","0","0","Kiss Pokémon","Ice","Psychic","0.4","6","45","30","15","85","65","65"
"239","Elekid","2","0","0","Electric Pokémon","Electric","","0.6","23.5","45","63","37","65","55","95"
"240","Magby","2","0","0","Live Coal Pokémon","Fire","","0.7","21.4","45","75","37","70","55","83"
"241","Miltank","2","0","0","Milk Cow Pokémon","Normal","","1.2","75.5","95","80","105","40","70","100"
"242","Blissey","2","0","0","Happiness Pokémon","Normal","","1.5","46.8","255","10","10","75","135","55"
"243","Raikou","2","0","0","Thunder Pokémon","Electric","","1.9","178","90","85","75","115","100","115"
"244","Entei","2","0","0","Volcano Pokémon","Fire","","2.1","198","115","115","85","90","75","100"
"245","Suicune","2","0","0","Aurora Pokémon","Water","","2","187","100","75","115","90","115","85"
"246","Larvitar","2","0","0","Rock Skin Pokémon","Rock","Ground","0.6","72","50","64","50","45","50","41"
"247","Pupitar","2","0","0","Hard Shell Pokémon","Rock","Ground","1.2","152","70","84","70","65","70","51"
"248","Tyranitar","2","0","0","Armor Pokémon","Rock","Dark","2","202","100","134","110","95","100","61"
"248","Mega Tyranitar","2","0","0","Armor Pokémon","Rock","Dark","2.5","255","100","164","150","95","120","71"
"249","Lugia","2","1","0","Diving Pokémon","Psychic","Flying","5.2","216","106","90","130","90","154","110"
"250","Ho-oh","2","1","0","Rainbow Pokémon","Fire","Flying","3.8","199","106","130","90","110","154","90"
"251","Celebi","2","0","1","Time Travel Pokémon","Psychic","Grass","0.6","5","100","100","100","100","100","100"
"252","Treecko","3","0","0","Wood Gecko Pokémon","Grass","","0.5","5","40","45","35","65","55","70"
"253","Grovyle","3","0","0","Wood Gecko Pokémon","Grass","","0.9","21.6","50","65","45","85","65","95"
"254","Sceptile","3","0","0","Forest Pokémon","Grass","","1.7","52.2","70","85","65","105","85","120"
"254","Mega Sceptile","3","0","0","Forest Pokémon","Grass","Dragon","1.9","55.2","70","110","75","145","85","145"
"255","Torchic","3","0","0","Chick Pokémon","Fire","","0.4","2.5","45","60","40","70","50","45"
"256","Combusken","3","0","0","Young Fowl Pokémon","Fire","Fighting","0.9","19.5","60","85","60","85","60","55"
"257","Blaziken","3","0","0","Blaze Pokémon","Fire","Fighting","1.9","52","80","120","70","110","70","80"
"257","Mega Blaziken","3","0","0","Blaze Pokémon","Fire","Fighting","1.9","52","80","160","80","130","80","100"
"258","Mudkip","3","0","0","Mud Fish Pokémon","Water","","0.4","7.6","50","70","50","50","50","40"
"259","Marshtomp","3","0","0","Mud Fish Pokémon","Water","Ground","0.7","28","70","85","70","60","70","50"
"260","Swampert","3","0","0","Mud Fish Pokémon","Water","Ground","1.5","81.9","100","110","90","85","90","60"
"260","Mega Swampert","3","0","0","Mud Fish Pokémon","Water","Ground","1.9","102","100","150","110","95","110","70"
"261","Poochyena","3","0","0","Bite Pokémon","Dark","","0.5","13.6","35","55","35","30","30","35"
"262","Mightyena","3","0","0","Bite Pokémon","Dark","","1","37","70","90","70","60","60","70"
"263","Zigzagoon","3","0","0","TinyRaccoon Pokémon","Normal","","0.4","17.5","38","30","41","30","41","60"
"263","Galarian Zigzagoon","3","0","0","Tiny Raccoon Pokémon","Dark","Normal","0.4","17.5","38","30","41","30","41","60"
"264","Linoone","3","0","0","Rushing Pokémon","Normal","","0.5","32.5","78","70","61","50","61","100"
"264","Galarian Linoone","3","0","0","Rushing Pokémon","Dark","Normal","0.5","32.5","78","70","61","50","61","100"
"265","Wurmple","3","0","0","Worm Pokémon","Bug","","0.3","3.6","45","45","35","20","30","20"
"266","Silcoon","3","0","0","Cocoon Pokémon","Bug","","0.6","10","50","35","55","25","25","15"
"267","Beautifly","3","0","0","Butterfly Pokémon","Bug","Flying","1","28.4","60","70","50","100","50","65"
"268","Cascoon","3","0","0","Cocoon Pokémon","Bug","","0.7","11.5","50","35","55","25","25","15"
"269","Dustox","3","0","0","Poison Moth Pokémon","Bug","Poison","1.2","31.6","60","50","70","50","90","65"
"270","Lotad","3","0","0","Water Weed Pokémon","Water","Grass","0.5","2.6","40","30","30","40","50","30"
"271","Lombre","3","0","0","Jolly Pokémon","Water","Grass","1.2","32.5","60","50","50","60","70","50"
"272","Ludicolo","3","0","0","Carefree Pokémon","Water","Grass","1.5","55","80","70","70","90","100","70"
"273","Seedot","3","0","0","Acorn Pokémon","Grass","","0.5","4","40","40","50","30","30","30"
"274","Nuzleaf","3","0","0","Wily Pokémon","Grass","Dark","1","28","70","70","40","60","40","60"
"275","Shiftry","3","0","0","Wicked Pokémon","Grass","Dark","1.3","59.6","90","100","60","90","60","80"
"276","Taillow","3","0","0","TinySwallow Pokémon","Normal","Flying","0.3","2.3","40","55","30","30","30","85"
"277","Swellow","3","0","0","Swallow Pokémon","Normal","Flying","0.7","19.8","60","85","60","75","50","125"
"278","Wingull","3","0","0","Seagull Pokémon","Water","Flying","0.6","9.5","40","30","30","55","30","85"
"279","Pelipper","3","0","0","Water Bird Pokémon","Water","Flying","1.2","28","60","50","100","95","70","65"
"280","Ralts","3","0","0","Feeling Pokémon","Psychic","Fairy","0.4","6.6","28","25","25","45","35","40"
"281","Kirlia","3","0","0","Emotion Pokémon","Psychic","Fairy","0.8","20.2","38","35","35","65","55","50"
"282","Gardevoir","3","0","0","Embrace Pokémon","Psychic","Fairy","1.6","48.4","68","65","65","125","115","80"
"282","Mega Gardevoir","3","0","0","Embrace Pokémon","Psychic","Fairy","1.6","48.4","68","85","65","165","135","100"
"283","Surskit","3","0","0","Pond Skater Pokémon","Bug","Water","0.5","1.7","40","30","32","50","52","65"
"284","Masquerain","3","0","0","Eyeball Pokémon","Bug","Flying","0.8","3.6","70","60","62","100","82","80"
"285","Shroomish","3","0","0","Mushroom Pokémon","Grass","","0.4","4.5","60","40","60","40","60","35"
"286","Breloom","3","0","0","Mushroom Pokémon","Grass","Fighting","1.2","39.2","60","130","80","60","60","70"
"287","Slakoth","3","0","0","Slacker Pokémon","Normal","","0.8","24","60","60","60","35","35","30"
"288","Vigoroth","3","0","0","Wild Monkey Pokémon","Normal","","1.4","46.5","80","80","80","55","55","90"
"289","Slaking","3","0","0","Lazy Pokémon","Normal","","2","130.5","150","160","100","95","65","100"
"290","Nincada","3","0","0","Trainee Pokémon","Bug","Ground","0.5","5.5","31","45","90","30","30","40"
"291","Ninjask","3","0","0","Ninja Pokémon","Bug","Flying","0.8","12","61","90","45","50","50","160"
"292","Shedinja","3","0","0","Shed Pokémon","Bug","Ghost","0.8","1.2","1","90","45","30","30","40"
"293","Whismur","3","0","0","Whisper Pokémon","Normal","","0.6","16.3","64","51","23","51","23","28"
"294","Loudred","3","0","0","Big Voice Pokémon","Normal","","1","40.5","84","71","43","71","43","48"
"295","Exploud","3","0","0","Loud Noise Pokémon","Normal","","1.5","84","104","91","63","91","73","68"
"296","Makuhita","3","0","0","Guts Pokémon","Fighting","","1","86.4","72","60","30","20","30","25"
"297","Hariyama","3","0","0","Arm Thrust Pokémon","Fighting","","2.3","253.8","144","120","60","40","60","50"
"298","Azurill","3","0","0","Polka Dot Pokémon","Normal","Fairy","0.2","2","50","20","40","20","40","20"
"299","Nosepass","3","0","0","Compass Pokémon","Rock","","1","97","30","45","135","45","90","30"
"300","Skitty","3","0","0","Kitten Pokémon","Normal","","0.6","11","50","45","45","35","35","50"
"301","Delcatty","3","0","0","Prim Pokémon","Normal","","1.1","32.6","70","65","65","55","55","90"
"302","Sableye","3","0","0","Darkness Pokémon","Dark","Ghost","0.5","11","50","75","75","65","65","50"
"302","Mega Sableye","3","0","0","Darkness Pokémon","Dark","Ghost","0.5","161","50","85","125","85","115","20"
"303","Mawile","3","0","0","Deceiver Pokémon","Steel","Fairy","0.6","11.5","50","85","85","55","55","50"
"303","Mega Mawile","3","0","0","Deceiver Pokémon","Steel","Fairy","1","23.5","50","105","125","55","95","50"
"304","Aron","3","0","0","Iron Armor Pokémon","Steel","Rock","0.4","60","50","70","100","40","40","30"
"305","Lairon","3","0","0","Iron Armor Pokémon","Steel","Rock","0.9","120","60","90","140","50","50","40"
"306","Aggron","3","0","0","Iron Armor Pokémon","Steel","Rock","2.1","360","70","110","180","60","60","50"
"306","Mega Aggron","3","0","0","Iron Armor Pokémon","Steel","","2.2","395","70","140","230","60","80","50"
"307","Meditite","3","0","0","Meditate Pokémon","Fighting","Psychic","0.6","11.2","30","40","55","40","55","60"
"308","Medicham","3","0","0","Meditate Pokémon","Fighting","Psychic","1.3","31.5","60","60","75","60","75","80"
"308","Mega Medicham","3","0","0","Meditate Pokémon","Fighting","Psychic","1.3","31.5","60","100","85","80","85","100"
"309","Electrike","3","0","0","Lightning Pokémon","Electric","","0.6","15.2","40","45","40","65","40","65"
"310","Manectric","3","0","0","Discharge Pokémon","Electric","","1.5","40.2","70","75","60","105","60","105"
"310","Mega Manectric","3","0","0","Discharge Pokémon","Electric","","1.8","44","70","75","80","135","80","135"
"311","Plusle","3","0","0","Cheering Pokémon","Electric","","0.4","4.2","60","50","40","85","75","95"
"312","Minun","3","0","0","Cheering Pokémon","Electric","","0.4","4.2","60","40","50","75","85","95"
"313","Volbeat","3","0","0","Firefly Pokémon","Bug","","0.7","17.7","65","73","75","47","85","85"
"314","Illumise","3","0","0","Firefly Pokémon","Bug","","0.6","17.7","65","47","75","73","85","85"
"315","Roselia","3","0","0","Thorn Pokémon","Grass","Poison","0.3","2","50","60","45","100","80","65"
"316","Gulpin","3","0","0","Stomach Pokémon","Poison","","0.4","10.3","70","43","53","43","53","40"
"317","Swalot","3","0","0","Poison Bag Pokémon","Poison","","1.7","80","100","73","83","73","83","55"
"318","Carvanha","3","0","0","Savage Pokémon","Water","Dark","0.8","20.8","45","90","20","65","20","65"
"319","Sharpedo","3","0","0","Brutal Pokémon","Water","Dark","1.8","88.8","70","120","40","95","40","95"
"319","Mega Sharpedo","3","0","0","Brutal Pokémon","Water","Dark","2.5","130.3","70","140","70","110","65","105"
"320","Wailmer","3","0","0","Ball Whale Pokémon","Water","","2","130","130","70","35","70","35","60"
"321","Wailord","3","0","0","Float Whale Pokémon","Water","","14.5","398","170","90","45","90","45","60"
"322","Numel","3","0","0","Numb Pokémon","Fire","Ground","0.7","24","60","60","40","65","45","35"
"323","Camerupt","3","0","0","Eruption Pokémon","Fire","Ground","1.9","220","70","100","70","105","75","40"
"323","Mega Camerupt","3","0","0","Eruption Pokémon","Fire","Ground","2.5","320.5","70","120","100","145","105","20"
"324","Torkoal","3","0","0","Coal Pokémon","Fire","","0.5","80.4","70","85","140","85","70","20"
"325","Spoink","3","0","0","Bounce Pokémon","Psychic","","0.7","30.6","60","25","35","70","80","60"
"326","Grumpig","3","0","0","Manipulate Pokémon","Psychic","","0.9","71.5","80","45","65","90","110","80"
"327","Spinda","3","0","0","Spot Panda Pokémon","Normal","","1.1","5","60","60","60","60","60","60"
"328","Trapinch","3","0","0","Ant Pit Pokémon","Ground","","0.7","15","45","100","45","45","45","10"
"329","Vibrava","3","0","0","Vibration Pokémon","Ground","Dragon","1.1","15.3","50","70","50","50","50","70"
"330","Flygon","3","0","0","Mystic Pokémon","Ground","Dragon","2","82","80","100","80","80","80","100"
"331","Cacnea","3","0","0","Cactus Pokémon","Grass","","0.4","51.3","50","85","40","85","40","35"
"332","Cacturne","3","0","0","Scarecrow Pokémon","Grass","Dark","1.3","77.4","70","115","60","115","60","55"
"333","Swablu","3","0","0","Cotton Bird Pokémon","Normal","Flying","0.4","1.2","45","40","60","40","75","50"
"334","Altaria","3","0","0","Humming Pokémon","Dragon","Flying","1.1","20.6","75","70","90","70","105","80"
"334","Mega Altaria","3","0","0","Humming Pokémon","Dragon","Fairy","1.5","20.6","75","110","110","110","105","80"
"335","Zangoose","3","0","0","Cat Ferret Pokémon","Normal","","1.3","40.3","73","115","60","60","60","90"
"336","Seviper","3","0","0","Fang Snake Pokémon","Poison","","2.7","52.5","73","100","60","100","60","65"
"337","Lunatone","3","0","0","Meteorite Pokémon","Rock","Psychic","1","168","90","55","65","95","85","70"
"338","Solrock","3","0","0","Meteorite Pokémon","Rock","Psychic","1.2","154","90","95","85","55","65","70"
"339","Barboach","3","0","0","Whiskers Pokémon","Water","Ground","0.4","1.9","50","48","43","46","41","60"
"340","Whiscash","3","0","0","Whiskers Pokémon","Water","Ground","0.9","23.6","110","78","73","76","71","60"
"341","Corphish","3","0","0","Ruffian Pokémon","Water","","0.6","11.5","43","80","65","50","35","35"
"342","Crawdaunt","3","0","0","Rogue Pokémon","Water","Dark","1.1","32.8","63","120","85","90","55","55"
"343","Baltoy","3","0","0","Clay Doll Pokémon","Ground","Psychic","0.5","21.5","40","40","55","40","70","55"
"344","Claydol","3","0","0","Clay Doll Pokémon","Ground","Psychic","1.5","108","60","70","105","70","120","75"
"345","Lileep","3","0","0","Sea Lily Pokémon","Rock","Grass","1","23.8","66","41","77","61","87","23"
"346","Cradily","3","0","0","Barnacle Pokémon","Rock","Grass","1.5","60.4","86","81","97","81","107","43"
"347","Anorith","3","0","0","Old Shrimp Pokémon","Rock","Bug","0.7","12.5","45","95","50","40","50","75"
"348","Armaldo","3","0","0","Plate Pokémon","Rock","Bug","1.5","68.2","75","125","100","70","80","45"
"349","Feebas","3","0","0","Fish Pokémon","Water","","0.6","7.4","20","15","20","10","55","80"
"350","Milotic","3","0","0","Tender Pokémon","Water","","6.2","162","95","60","79","100","125","81"
"351","Castform","3","0","0","Weather Pokémon","Normal","","0.3","0.8","70","70","70","70","70","70"
"351","Castform Sunny Form","3","0","0","Weather Pokémon","Fire","","0.3","0.8","70","70","70","70","70","70"
"351","Castform Rainy Form","3","0","0","Weather Pokémon","Water","","0.3","0.8","70","70","70","70","70","70"
"351","Castform Snowy Form","3","0","0","Weather Pokémon","Ice","","0.3","0.8","70","70","70","70","70","70"
"352","Kecleon","3","0","0","Color Swap Pokémon","Normal","","1","22","60","90","70","60","120","40"
"353","Shuppet","3","0","0","Puppet Pokémon","Ghost","","0.6","2.3","44","75","35","63","33","45"
"354","Banette","3","0","0","Marionette Pokémon","Ghost","","1.1","12.5","64","115","65","83","63","65"
"354","Mega Banette","3","0","0","Marionette Pokémon","Ghost","","1.2","13","64","165","75","93","83","75"
"355","Duskull","3","0","0","Requiem Pokémon","Ghost","","0.8","15","20","40","90","30","90","25"
"356","Dusclops","3","0","0","Beckon Pokémon","Ghost","","1.6","30.6","40","70","130","60","130","25"
"357","Tropius","3","0","0","Fruit Pokémon","Grass","Flying","2","100","99","68","83","72","87","51"
"358","Chimecho","3","0","0","Wind Chime Pokémon","Psychic","","0.6","1","75","50","80","95","90","65"
"359","Absol","3","0","0","Disaster Pokémon","Dark","","1.2","47","65","130","60","75","60","75"
"359","Mega Absol","3","0","0","Disaster Pokémon","Dark","","1.2","49","65","150","60","115","60","115"
"360","Wynaut","3","0","0","Bright Pokémon","Psychic","","0.6","14","95","23","48","23","48","23"
"361","Snorunt","3","0","0","Snow Hat Pokémon","Ice","","0.7","16.8","50","50","50","50","50","50"
"362","Glalie","3","0","0","Face Pokémon","Ice","","1.5","256.5","80","80","80","80","80","80"
"362","Mega Glalie","3","0","0","Face Pokémon","Ice","","2.1","350.2","80","120","80","120","80","100"
"363","Spheal","3","0","0","Clap Pokémon","Ice","Water","0.8","39.5","70","40","50","55","50","25"
"364","Sealeo","3","0","0","Ball Roll Pokémon","Ice","Water","1.1","87.6","90","60","70","75","70","45"
"365","Walrein","3","0","0","Ice Break Pokémon","Ice","Water","1.4","150.6","110","80","90","95","90","65"
"366","Clamperl","3","0","0","Bivalve Pokémon","Water","","0.4","52.5","35","64","85","74","55","32"
"367","Huntail","3","0","0","Deep Sea Pokémon","Water","","1.7","27","55","104","105","94","75","52"
"368","Gorebyss","3","0","0","South Sea Pokémon","Water","","1.8","22.6","55","84","105","114","75","52"
"369","Relicanth","3","0","0","Longevity Pokémon","Water","Rock","1","23.4","100","90","130","45","65","55"
"370","Luvdisc","3","0","0","Rendezvous Pokémon","Water","","0.6","8.7","43","30","55","40","65","97"
"371","Bagon","3","0","0","Rock Head Pokémon","Dragon","","0.6","42.1","45","75","60","40","30","50"
"372","Shelgon","3","0","0","Endurance Pokémon","Dragon","","1.1","110.5","65","95","100","60","50","50"
"373","Salamence","3","0","0","Dragon Pokémon","Dragon","Flying","1.5","102.6","95","135","80","110","80","100"
"373","Mega Salamence","3","0","0","Dragon Pokémon","Dragon","Flying","1.8","112.6","95","145","130","120","90","120"
"374","Beldum","3","0","0","Iron Ball Pokémon","Steel","Psychic","0.6","95.2","40","55","80","35","60","30"
"375","Metang","3","0","0","Iron Claw Pokémon","Steel","Psychic","1.2","202.5","60","75","100","55","80","50"
"376","Metagross","3","0","0","Iron Leg Pokémon","Steel","Psychic","1.6","550","80","135","130","95","90","70"
"376","Mega Metagross","3","0","0","Iron Leg Pokémon","Steel","Psychic","2.5","942.9","80","145","150","105","110","110"
"377","Regirock","3","0","0","Rock Peak Pokémon","Rock","","1.7","230","80","100","200","50","100","50"
"378","Regice","3","0","0","Iceberg Pokémon","Ice","","1.8","175","80","50","100","100","200","50"
"379","Registeel","3","0","0","Iron Pokémon","Steel","","1.9","205","80","75","150","75","150","50"
"380","Latias","3","0","0","Eon Pokémon","Dragon","Psychic","1.4","40","80","80","90","110","130","110"
"380","Mega Latias","3","0","0","Eon Pokémon","Dragon","Psychic","1.8","52","80","100","120","140","150","110"
"381","Latios","3","0","0","Eon Pokémon","Dragon","Psychic","2","60","80","90","80","130","110","110"
"381","Mega Latios","3","0","0","Eon Pokémon","Dragon","Psychic","2.3","70","80","130","100","160","120","110"
"382","Kyogre","3","1","0","Sea Basin Pokémon","Water","","4.5","352","100","100","90","150","140","90"
"382","Primal Kyogre","3","1","0","Sea Basin Pokémon","Water","","9.8","430","100","150","90","180","160","90"
"383","Groudon","3","1","0","Continent Pokémon","Ground","","3.5","950","100","150","140","100","90","90"
"383","Primal Groudon","3","1","0","Continent Pokémon","Ground","Fire","5","999.7","100","180","160","150","90","90"
"384","Rayquaza","3","1","0","Sky High Pokémon","Dragon","Flying","7","206.5","105","150","90","150","90","95"
"384","Mega Rayquaza","3","1","0","Sky High Pokémon","Dragon","Flying","10.8","392","105","180","100","180","100","115"
"385","Jirachi","3","0","1","Wish Pokémon","Steel","Psychic","0.3","1.1","100","100","100","100","100","100"
"386","Deoxys Normal Forme","3","0","1","DNA Pokémon","Psychic","","1.7","60.8","50","150","50","150","50","150"
"386","Deoxys Attack Forme","3","0","1","DNA Pokémon","Psychic","","1.7","60.8","50","180","20","180","20","150"
"386","Deoxys Defense Forme","3","0","1","DNA Pokémon","Psychic","","1.7","60.8","50","70","160","70","160","90"
"386","Deoxys Speed Forme","3","0","1","DNA Pokémon","Psychic","","1.7","60.8","50","95","90","95","90","180"
"387","Turtwig","4","0","0","Tiny Leaf Pokémon","Grass","","0.4","10.2","55","68","64","45","55","31"
"388","Grotle","4","0","0","Grove Pokémon","Grass","","1.1","97","75","89","85","55","65","36"
"389","Torterra","4","0","0","Continent Pokémon","Grass","Ground","2.2","310","95","109","105","75","85","56"
"390","Chimchar","4","0","0","Chimp Pokémon","Fire","","0.5","6.2","44","58","44","58","44","61"
"391","Monferno","4","0","0","Playful Pokémon","Fire","Fighting","0.9","22","64","78","52","78","52","81"
"392","Infernape","4","0","0","Flame Pokémon","Fire","Fighting","1.2","55","76","104","71","104","71","108"
"393","Piplup","4","0","0","Penguin Pokémon","Water","","0.4","5.2","53","51","53","61","56","40"
"394","Prinplup","4","0","0","Penguin Pokémon","Water","","0.8","23","64","66","68","81","76","50"
"395","Empoleon","4","0","0","Emperor Pokémon","Water","Steel","1.7","84.5","84","86","88","111","101","60"
"396","Starly","4","0","0","Starling Pokémon","Normal","Flying","0.3","2","40","55","30","30","30","60"
"397","Staravia","4","0","0","Starling Pokémon","Normal","Flying","0.6","15.5","55","75","50","40","40","80"
"398","Staraptor","4","0","0","Predator Pokémon","Normal","Flying","1.2","24.9","85","120","70","50","60","100"
"399","Bidoof","4","0","0","Plump Mouse Pokémon","Normal","","0.5","20","59","45","40","35","40","31"
"400","Bibarel","4","0","0","Beaver Pokémon","Normal","Water","1","31.5","79","85","60","55","60","71"
"401","Kricketot","4","0","0","Cricket Pokémon","Bug","","0.3","2.2","37","25","41","25","41","25"
"402","Kricketune","4","0","0","Cricket Pokémon","Bug","","1","25.5","77","85","51","55","51","65"
"403","Shinx","4","0","0","Flash Pokémon","Electric","","0.5","9.5","45","65","34","40","34","45"
"404","Luxio","4","0","0","Spark Pokémon","Electric","","0.9","30.5","60","85","49","60","49","60"
"405","Luxray","4","0","0","Gleam Eyes Pokémon","Electric","","1.4","42","80","120","79","95","79","70"
"406","Budew","4","0","0","Bud Pokémon","Grass","Poison","0.2","1.2","40","30","35","50","70","55"
"407","Roserade","4","0","0","Bouquet Pokémon","Grass","Poison","0.9","14.5","60","70","65","125","105","90"
"408","Cranidos","4","0","0","Head Butt Pokémon","Rock","","0.9","31.5","67","125","40","30","30","58"
"409","Rampardos","4","0","0","Head Butt Pokémon","Rock","","1.6","102.5","97","165","60","65","50","58"
"410","Shieldon","4","0","0","Shield Pokémon","Rock","Steel","0.5","57","30","42","118","42","88","30"
"411","Bastiodon","4","0","0","Shield Pokémon","Rock","Steel","1.3","149.5","60","52","168","47","138","30"
"412","Burmy","4","0","0","Bagworm Pokémon","Bug","","0.2","3.4","40","29","45","29","45","36"
"413","Wormadam Plant Cloak","4","0","0","Bagworm Pokémon","Bug","Grass","0.5","6.5","60","59","85","79","105","36"
"413","Wormadam Sandy Cloak","4","0","0","Bagworm Pokémon","Bug","Ground","0.5","6.5","60","79","105","59","85","36"
"413","Wormadam Trash Cloak","4","0","0","Bagworm Pokémon","Bug","Steel","0.5","6.5","60","69","95","69","95","36"
"414","Mothim","4","0","0","Moth Pokémon","Bug","Flying","0.9","23.3","70","94","50","94","50","66"
"415","Combee","4","0","0","Tiny Bee Pokémon","Bug","Flying","0.3","5.5","30","30","42","30","42","70"
"416","Vespiquen","4","0","0","Beehive Pokémon","Bug","Flying","1.2","38.5","70","80","102","80","102","40"
"417","Pachirisu","4","0","0","EleSquirrel Pokémon","Electric","","0.4","3.9","60","45","70","45","90","95"
"418","Buizel","4","0","0","Sea Weasel Pokémon","Water","","0.7","29.5","55","65","35","60","30","85"
"419","Floatzel","4","0","0","Sea Weasel Pokémon","Water","","1.1","33.5","85","105","55","85","50","115"
"420","Cherubi","4","0","0","Cherry Pokémon","Grass","","0.4","3.3","45","35","45","62","53","35"
"421","Cherrim","4","0","0","Blossom Pokémon","Grass","","0.5","9.3","70","60","70","87","78","85"
"422","Shellos","4","0","0","Sea Slug Pokémon","Water","","0.3","6.3","76","48","48","57","62","34"
"423","Gastrodon","4","0","0","Sea Slug Pokémon","Water","Ground","0.9","29.9","111","83","68","92","82","39"
"424","Ambipom","4","0","0","Long Tail Pokémon","Normal","","1.2","20.3","75","100","66","60","66","115"
"425","Drifloon","4","0","0","Balloon Pokémon","Ghost","Flying","0.4","1.2","90","50","34","60","44","70"
"426","Drifblim","4","0","0","Blimp Pokémon","Ghost","Flying","1.2","15","150","80","44","90","54","80"
"427","Buneary","4","0","0","Rabbit Pokémon","Normal","","0.4","5.5","55","66","44","44","56","85"
"428","Lopunny","4","0","0","Rabbit Pokémon","Normal","","1.2","33.3","65","76","84","54","96","105"
"428","Mega Lopunny","4","0","0","Rabbit Pokémon","Normal","Fighting","1.3","28.3","65","136","94","54","96","135"
"429","Mismagius","4","0","0","Magical Pokémon","Ghost","","0.9","4.4","60","60","60","105","105","105"
"430","Honchkrow","4","0","0","Big Boss Pokémon","Dark","Flying","0.9","27.3","100","125","52","105","52","71"
"431","Glameow","4","0","0","Catty Pokémon","Normal","","0.5","3.9","49","55","42","42","37","85"
"432","Purugly","4","0","0","Tiger Cat Pokémon","Normal","","1","43.8","71","82","64","64","59","112"
"433","Chingling","4","0","0","Bell Pokémon","Psychic","","0.2","0.6","45","30","50","65","50","45"
"434","Stunky","4","0","0","Skunk Pokémon","Poison","Dark","0.4","19.2","63","63","47","41","41","74"
"435","Skuntank","4","0","0","Skunk Pokémon","Poison","Dark","1","38","103","93","67","71","61","84"
"436","Bronzor","4","0","0","Bronze Pokémon","Steel","Psychic","0.5","60.5","57","24","86","24","86","23"
"437","Bronzong","4","0","0","Bronze Bell Pokémon","Steel","Psychic","1.3","187","67","89","116","79","116","33"
"438","Bonsly","4","0","0","Bonsai Pokémon","Rock","","0.5","15","50","80","95","10","45","10"
"439","Mime Jr.","4","0","0","Mime Pokémon","Psychic","Fairy","0.6","13","20","25","45","70","90","60"
"440","Happiny","4","0","0","Playhouse Pokémon","Normal","","0.6","24.4","100","5","5","15","65","30"
"441","Chatot","4","0","0","Music Note Pokémon","Normal","Flying","0.5","1.9","76","65","45","92","42","91"
"442","Spiritomb","4","0","0","Forbidden Pokémon","Ghost","Dark","1","108","50","92","108","92","108","35"
"443","Gible","4","0","0","Land Shark Pokémon","Dragon","Ground","0.7","20.5","58","70","45","40","45","42"
"444","Gabite","4","0","0","Cave Pokémon","Dragon","Ground","1.4","56","68","90","65","50","55","82"
"445","Garchomp","4","0","0","Mach Pokémon","Dragon","Ground","1.9","95","108","130","95","80","85","102"
"445","Mega Garchomp","4","0","0","Mach Pokémon","Dragon","Ground","1.9","95","108","170","115","120","95","92"
"446","Munchlax","4","0","0","Big Eater Pokémon","Normal","","0.6","105","135","85","40","40","85","5"
"447","Riolu","4","0","0","Emanation Pokémon","Fighting","","0.7","20.2","40","70","40","35","40","60"
"448","Lucario","4","0","0","Aura Pokémon","Fighting","Steel","1.2","54","70","110","70","115","70","90"
"448","Mega Lucario","4","0","0","Aura Pokémon","Fighting","Steel","1.3","57.5","70","145","88","140","70","112"
